ticker,company_name,source_md,rendered_md,source_wikilinks,rendered_wikilinks,missing_wikilinks,missing_source_sections,financial_preserved,competitor_count
2301,光寶科,Pilot_Reports/醫療器材 - 醫療器材研發、設計、製造/2301_光寶科.md,output/enrichment_rendered/2301_光寶科.md,23,28,,,true,1
2303,聯電,Pilot_Reports/半導體 - IC_晶圓製造/2303_聯電.md,output/enrichment_rendered/2303_聯電.md,19,23,,,true,1
2308,台達電,Pilot_Reports/人工智慧 - 系統整合/2308_台達電.md,output/enrichment_rendered/2308_台達電.md,18,19,,,true,1
2317,鴻海,Pilot_Reports/電腦及週邊設備 - 其他電腦及週邊設備/2317_鴻海.md,output/enrichment_rendered/2317_鴻海.md,17,22,,,true,1
2324,仁寶,Pilot_Reports/運動科技 - 穿戴式裝置/2324_仁寶.md,output/enrichment_rendered/2324_仁寶.md,21,21,,,true,1
2330,台積電,Pilot_Reports/半導體 - IC_晶圓製造/2330_台積電.md,output/enrichment_rendered/2330_台積電.md,28,33,,,true,1
2354,鴻準,Pilot_Reports/電腦及週邊設備 - 機殼/2354_鴻準.md,output/enrichment_rendered/2354_鴻準.md,11,16,,,true,1
2356,英業達,Pilot_Reports/電腦及週邊設備 - 筆記型電腦/2356_英業達.md,output/enrichment_rendered/2356_英業達.md,21,26,,,true,1
2357,華碩,Pilot_Reports/人工智慧 - 智慧設備/2357_華碩.md,output/enrichment_rendered/2357_華碩.md,14,17,,,true,1
2376,技嘉,Pilot_Reports/電腦及週邊設備 - 其他電腦及週邊設備/2376_技嘉.md,output/enrichment_rendered/2376_技嘉.md,12,18,,,true,1
2377,微星,Pilot_Reports/電腦及週邊設備 - 其他電腦及週邊設備/2377_微星.md,output/enrichment_rendered/2377_微星.md,8,14,,,true,1
2379,瑞昱,Pilot_Reports/半導體 - IC設計/2379_瑞昱.md,output/enrichment_rendered/2379_瑞昱.md,12,17,,,true,1
2382,廣達,Pilot_Reports/運動科技 - 穿戴式裝置/2382_廣達.md,output/enrichment_rendered/2382_廣達.md,29,30,,,true,1
2395,研華,Pilot_Reports/運動科技 - 軟體開發/2395_研華.md,output/enrichment_rendered/2395_研華.md,9,10,,,true,1
2412,中華電,Pilot_Reports/通信網路 - 電信服務業/2412_中華電.md,output/enrichment_rendered/2412_中華電.md,17,20,,,true,1
2454,聯發科,Pilot_Reports/半導體 - IC設計/2454_聯發科.md,output/enrichment_rendered/2454_聯發科.md,34,39,,,true,1
2458,義隆,Pilot_Reports/半導體 - IC設計/2458_義隆.md,output/enrichment_rendered/2458_義隆.md,15,20,,,true,1
2480,敦陽科,Pilot_Reports/金融科技 - 數位身分/2480_敦陽科.md,output/enrichment_rendered/2480_敦陽科.md,14,15,,,true,1
3014,聯陽,Pilot_Reports/半導體 - IC設計/3014_聯陽.md,output/enrichment_rendered/3014_聯陽.md,19,24,,,true,1
3022,威強電,Pilot_Reports/電腦及週邊設備 - 其他電腦及週邊設備/3022_威強電.md,output/enrichment_rendered/3022_威強電.md,8,13,,,true,1
3034,聯詠,Pilot_Reports/半導體 - IC設計/3034_聯詠.md,output/enrichment_rendered/3034_聯詠.md,17,17,,,true,1
3035,智原,Pilot_Reports/半導體 - IP設計_IC設計代工服務/3035_智原.md,output/enrichment_rendered/3035_智原.md,11,16,,,true,1
3045,台灣大,Pilot_Reports/通信網路 - 電信服務業/3045_台灣大.md,output/enrichment_rendered/3045_台灣大.md,11,14,,,true,1
3231,緯創,Pilot_Reports/電腦及週邊設備 - 桌上型電腦/3231_緯創.md,output/enrichment_rendered/3231_緯創.md,20,21,,,true,1
4938,和碩,Pilot_Reports/半導體 - 基板/4938_和碩.md,output/enrichment_rendered/4938_和碩.md,18,22,,,true,1
6214,精誠,Pilot_Reports/軟體服務 - 應用_系統軟體設計開發/6214_精誠.md,output/enrichment_rendered/6214_精誠.md,15,20,,,true,1
6231,系微,Pilot_Reports/電腦及週邊設備 - BIOS(嵌入式軟體)/6231_系微.md,output/enrichment_rendered/6231_系微.md,17,18,,,true,1
6285,啟碁,Pilot_Reports/通信網路 - 無線通訊設備(如行動電話、衛星定位系統、衛星_微波通訊設備、數位機上盒)/6285_啟碁.md,output/enrichment_rendered/6285_啟碁.md,9,15,,,true,1
6669,緯穎,Pilot_Reports/人工智慧 - 運算設備/6669_緯穎.md,output/enrichment_rendered/6669_緯穎.md,20,21,,,true,1
7722,LINEPAY,Pilot_Reports/金融科技 - 支付/7722_LINEPAY.md,output/enrichment_rendered/7722_LINEPAY.md,7,12,,,true,1
7728,光焱科技,Pilot_Reports/半導體 - 生產製程及檢測設備/7728_光焱科技.md,output/enrichment_rendered/7728_光焱科技.md,7,7,,,true,1
7765,中華資安,Pilot_Reports/資通訊安全 - 網路基礎設施/7765_中華資安.md,output/enrichment_rendered/7765_中華資安.md,6,11,,,true,1
8299,群聯,Pilot_Reports/半導體 - IP設計_IC設計代工服務/8299_群聯.md,output/enrichment_rendered/8299_群聯.md,12,12,,,true,1
